overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,Ccdc6,,,Uck2,,,,,,Maged1,,Wfdc17,Ncoa3,,,,,,Itpripl1,,Tbcb,Khk,,,
,,Ccdc69,,,Umps,,,,,,Malt1,,Ybx1,Ndufa13,,,,,,Itpripl2,,Tcp1,Klf10,,,
,,Ccdc85b,,,Ung,,,,,,Maml2,,Ypel3,Ndufa7,,,,,,Jagn1,,Tex261,Klf13,,,
,,Ccdc86,,,Uqcrc1,,,,,,Man2a2,,Zfp36,Nek6,,,,,,Jak2,,Timm8b,Klf3,,,
,,Ccdc90b,,,Vat1,,,,,,Map3k2,,Zfp706,Nenf,,,,,,Kctd20,,Tipin,Klf4,,,
,,Ccdc94,,,Vdac1,,,,,,Map3k4,,Zyx,Net1,,,,,,Klhl18,,Tmbim6,Klf6,,,
,,Ccl27a,,,Vdac2,,,,,,Map3k8,,mt-Cytb,Nfkb1,,,,,,Klhl5,,Tmed3,Klra2,,,
,,Ccne2,,,Vkorc1,,,,,,Map4k4,,mt-Nd1,Nfkbiz,,,,,,Klraq1,,Tmed9,LOC100038947,,,
,,Ccnf,,,Wbp5,,,,,,Map4k5,,mt-Nd2,Nme2,,,,,,Krt80,,Tmem147,Lamp1,,,
,,Ccnh,,,Wdr12,,,,,,Mapre2,,,Nme3,,,,,,L1cam,,Tmem256,Lamp2,,,
,,Ccrn4l,,,Wdr18,,,,,,Mark3,,,Notch1,,,,,,Lactb,,Tmem258,Laptm4a,,,
,,Ccs,,,Wdr43,,,,,,Mast4,,,Npc1,,,,,,Lamtor3,,Tomm40,Laptm5,,,
,,Ccz1,,,Xpc,,,,,,Mbp,,,Nptn,,,,,,Lass5,,Tomm5,Lat2,,,
,,Cd151,,,Yif1b,,,,,,Mcart6,,,Nr2c2ap,,,,,,Lass6,,Tpi1,Lcp2,,,
,,Cd177,,,,,,,,,Mcoln1,,,Nrp,,,,,,Ldlr,,Trmt112,Lgals3,,,
,,Cd320,,,,,,,,,Me2,,,Nrp1,,,,,,Ldlrad3,,Tspan32,Lgmn,,,
,,Cd3eap,,,,,,,,,Med12l,,,Nrxn2,,,,,,Lemd2,,Tuba4a,Lilra6,,,
,,Cd9,,,,,,,,,Med13,,,Nsmaf,,,,,,Leprot,,U2af1,Lilrb3,,,
,,Cdadc1,,,,,,,,,Med16,,,Nucb2,,,,,,Lgals1,,Uchl3,Lilrb4,,,
,,Cdc123,,,,,,,,,Mfap3,,,Nudt16,,,,,,Lipe,,Uchl5,Lipa,,,
,,Cdc25a,,,,,,,,,Mgat4a,,,Nudt18,,,,,,Lman2l,,Uqcr11,Lpl,,,
,,Cdc45,,,,,,,,,Mia3,,,Nudt19,,,,,,Lmf1,,Uqcrb,Lrp1,,,
,,Cdc6,,,,,,,,,Mink1,,,Oaz1,,,,,,Lpar6,,Uqcrc1,Lrpap1,,,
,,Cdc7,,,,,,,,,Mir703,,,Ogt,,,,,,Lpcat4,,Usmg5,Lrrc25,,,
,,Cdca2,,,,,,,,,Mknk1,,,Orai3,,,,,,Lrrc8d,,Vat1,Lrrc33,,,
,,Cdca3,,,,,,,,,Mlec,,,Ostc,,,,,,Lrrfip2,,Vcam1,Lsp1,,,
,,Cdca8,,,,,,,,,Mob3b,,,P2ry13,,,,,,Lrrk1,,Vcp,Lst1,,,
,,Cdk1,,,,,,,,,Mon2,,,P2ry14,,,,,,Lsmd1,,Vdac2,Ltbr,,,
,,Cdk2,,,,,,,,,Mtmr1,,,Pacsin1,,,,,,Lsr,,Xpc,Ly6e,,,
,,Cdk2ap1,,,,,,,,,Myo18a,,,Padi2,,,,,,Ltb4r1,,Ybx1,Ly86,,,
,,Cdk5rap3,,,,,,,,,Myo9a,,,Paqr5,,,,,,Madd,,Zcchc17,Lyn,,,
,,Cdk7,,,,,,,,,Myo9b,,,Pcyt2,,,,,,Magohb,,mt-Cytb,Lyz1,,,
,,Cdkn1a,,,,,,,,,Nab1,,,Pdcd2l,,,,,,Man1c1,,mt-Nd1,Lyz2,,,
,,Cdkn3,,,,,,,,,Nbr1,,,Pdpk1,,,,,,Map2k1,,mt-Nd4,Mafb,,,
,,Cdt1,,,,,,,,,Nckipsd,,,Pdzd4,,,,,,Map3k11,,,Man2b1,,,
,,Cebpa,,,,,,,,,Ncoa1,,,Pecam1,,,,,,Map3k3,,,Mapkapk2,,,
,,Cebpd,,,,,,,,,Ndst1,,,Pgls,,,,,,Map3k8,,,March1,,,
,,Cebpe,,,,,,,,,Ndufa1,,,Phf17,,,,,,Mapk14,,,Mbnl2,,,
,,Cenph,,,,,,,,,Ndufa2,,,Pip4k2a,,,,,,Me2,,,Mbp,,,
,,Cenpk,,,,,,,,,Ndufa3,,,Pip5k1c,,,,,,Met,,,Mef2a,,,
,,Cenpm,,,,,,,,,Ndufc1,,,Pisd-ps1,,,,,,Mfap3,,,Metrnl,,,
,,Cenpt,,,,,,,,,Nek7,,,Pisd-ps3,,,,,,Mfsd11,,,Mfsd1,,,
,,Cep57l1,,,,,,,,,Nfatc1,,,Pkib,,,,,,Mfsd6,,,Mfsd5,,,
,,Cetn2,,,,,,,,,Nipbl,,,Pkig,,,,,,Mgst3,,,Mgst1,,,
,,Cfdp1,,,,,,,,,Nlrc5,,,Pkp3,,,,,,Mir692-1,,,Mnda,,,
,,Chaf1a,,,,,,,,,Nr3c1,,,Plek,,,,,,Mknk1,,,Mndal,,,
,,Chaf1b,,,,,,,,,Nrd1,,,Plekhm3,,,,,,Mnt,,,Mpeg1,,,
,,Chchd3,,,,,,,,,Nsd1,,,Plekho1,,,,,,Mob3b,,,Mrpl30,,,
,,Chchd5,,,,,,,,,Nub1,,,Pltp,,,,,,Morc3,,,Mrpl33,,,
,,Chchd6,,,,,,,,,Nudt14,,,Pml,,,,,,Mpp1,,,Mrpl52,,,
,,Chek1,,,,,,,,,Nup210,,,Pmvk,,,,,,Mpp6,,,Ms4a4c,,,
,,Chi3l3,,,,,,,,,ORF61,,,Pnck,,,,,,Mrpl28,,,Ms4a6b,,,
,,Chid1,,,,,,,,,Olfr164,,,Polr3gl,,,,,,Mrpl4,,,Ms4a6c,,,
,,Chmp6,,,,,,,,,Orai2,,,Ppdpf,,,,,,Mrps18c,,,Ms4a6d,,,
,,Chrac1,,,,,,,,,Osbpl11,,,Ppfia4,,,,,,Mrps21,,,Ms4a8a,,,
,,Chst12,,,,,,,,,Ost4,,,Ppif,,,,,,Mtap7d1,,,Msn,,,
,,Ciapin1,,,,,,,,,Ostm1,,,Ppm1h,,,,,,Mtmr6,,,Msr1,,,
,,Cinp,,,,,,,,,Otud4,,,Ppm1m,,,,,,Mtus1,,,Myadm,,,
,,Cirh1a,,,,,,,,,P2rx7,,,Ppp1r10,,,,,,Mvd,,,Myo1f,,,
,,Cisd1,,,,,,,,,P2ry12,,,Ppp1r11,,,,,,Mvp,,,Myo1g,,,
,,Cisd2,,,,,,,,,P4ha1,,,Ppp1r14b,,,,,,Mx1,,,Naaa,,,
,,Cited2,,,,,,,,,Pak2,,,Pqlc3,,,,,,Myd88,,,Nadk,,,
,,Ckap4,,,,,,,,,Pan3,,,Prcp,,,,,,Myeov2,,,Naip2,,,
,,Clcc1,,,,,,,,,Pank3,,,Prdm2,,,,,,Myl6,,,Ncf2,,,
,,Clec4a2,,,,,,,,,Parp3,,,Prkca,,,,,,N4bp2l1,,,Ndrg1,,,
,,Clec5a,,,,,,,,,Parp8,,,Prkcb,,,,,,N6amt2,,,Ndufa6,,,
,,Cln6,,,,,,,,,Pcm1,,,Prr13,,,,,,Naga,,,Neat1,,,
,,Clpb,,,,,,,,,Pcmtd1,,,Prr5,,,,,,Nagk,,,Necap2,,,
,,Clspn,,,,,,,,,Pcnx,,,Psmb9,,,,,,Nagpa,,,Nfam1,,,
,,Cltb,,,,,,,,,Pcyt1a,,,Ptms,,,,,,Naip5,,,Nfil3,,,
,,Cluap1,,,,,,,,,Pde4a,,,Ptpn1,,,,,,Nampt,,,Nfkbiz,,,
,,Cmas,,,,,,,,,Pde4dip,,,Ptprf,,,,,,Nav1,,,Nme2,,,
,,Cmtm3,,,,,,,,,Pde7a,,,Ptprs,,,,,,Ncf4,,,Notch2,,,
,,Cnih,,,,,,,,,Pdia5,,,Purb,,,,,,Nckipsd,,,Npc2,,,
,,Cnih4,,,,,,,,,Pdzd8,,,Rab33b,,,,,,Ncln,,,Nrp1,,,
,,Cnnm3,,,,,,,,,Pea15a,,,Rab6b,,,,,,Ncoa3,,,Nt5c,,,
,,Cnnm4,,,,,,,,,Peli2,,,Rabgap1l,,,,,,Ncor2,,,Nupr1,,,
,,Cnpy3,,,,,,,,,Pepd,,,Rassf4,,,,,,Ndst2,,,Oas1a,,,
,,Cnpy4,,,,,,,,,Phactr2,,,Rbbp6,,,,,,Ndufa1,,,Oasl2,,,
,,Cntln,,,,,,,,,Phf12,,,Rbm26,,,,,,Ndufa13,,,Ogfr,,,
,,Coasy,,,,,,,,,Phf2,,,Rbm47,,,,,,Ndufa3,,,P2rx4,,,
,,Commd1,,,,,,,,,Phkb,,,Rell1,,,,,,Ndufa7,,,P2ry6,,,
,,Commd7,,,,,,,,,Phlpp2,,,Rexo2,,,,,,Ndufa8,,,Parp14,,,
,,Comt,,,,,,,,,Phtf1,,,Rftn1,,,,,,Nek9,,,Pdlim1,,,
,,Comtd1,,,,,,,,,Phxr4,,,Rgs18,,,,,,Nfix,,,Pid1,,,
,,Cops3,,,,,,,,,Picalm,,,Rilpl2,,,,,,Nfkb1,,,Pim1,,,
,,Cops5,,,,,,,,,Pik3ap1,,,Rnase6,,,,,,Nhsl2,,,Pip4k2a,,,
,,Cops6,,,,,,,,,Pik3cd,,,Rnasek,,,,,,Nin,,,Pitpna,,,
,,Cops8,,,,,,,,,Pik3r5,,,Rnaset2b,,,,,,Nipa2,,,Pkib,,,
,,Coq2,,,,,,,,,Plekha1,,,Rnd3,,,,,,Nkiras2,,,Pla2g7,,,
,,Coq4,,,,,,,,,Plekhb2,,,Rnf122,,,,,,Nmt1,,,Plbd1,,,
,,Coq9,,,,,,,,,Plxdc1,,,Rnf13,,,,,,Nptn,,,Plcg2,,,
,,Cox10,,,,,,,,,Plxnb2,,,Rnf187,,,,,,Nqo2,,,Pld4,,,
,,Cox18,,,,,,,,,Plxnc1,,,Rnpepl1,,,,,,Nr4a1,,,Plec,,,
,,Cox4nb,,,,,,,,,Pmepa1,,,Rogdi,,,,,,Nuak2,,,Plek,,,
,,Cox6b2,,,,,,,,,Polr2a,,,Rpgrip1,,,,,,Nubp1,,,Plekhm3,,,
,,Cox7a2l,,,,,,,,,Ppig,,,Rpl13a,,,,,,Obfc1,,,Plekho1,,,
,,Cpne2,,,,,,,,,Ppm1e,,,Rpl31,,,,,,Obfc2a,,,Plekho2,,,
,,Cpne3,,,,,,,,,Ppp1r9b,,,Rpl31-ps12,,,,,,Olfm1,,,Plin2,,,
,,Cpsf4,,,,,,,,,Ppp6r3,,,Rps6ka1,,,,,,Orai1,,,Plod3,,,
,,Cpt2,,,,,,,,,Pptc7,,,Rrbp1,,,,,,Osgep,,,Plxnb2,,,
,,Creg1,,,,,,,,,Prkag2,,,Runx2,,,,,,Ost4,,,Polb,,,
,,Crls1,,,,,,,,,Prpf8,,,Runx3,,,,,,Ostf1,,,Pomp,,,
,,Crtap,,,,,,,,,Prps2,,,Sc4mol,,,,,,Ostm1,,,Ppfia4,,,
,,Crtc1,,,,,,,,,Prss30,,,Scap,,,,,,P2rx7,,,Ppib,,,
,,Cryzl1,,,,,,,,,Ptger1,,,Scarb2,,,,,,Pacs2,,,Ppt1,,,
,,Csad,,,,,,,,,Ptprj,,,Scpep1,,,,,,Pacsin2,,,Ppt2,,,
,,Csnk1e,,,,,,,,,Pum2,,,Sdc4,,,,,,Padi2,,,Prcp,,,
,,Ctbp2,,,,,,,,,Qk,,,Sdf4,,,,,,Pak1,,,Prdx1,,,
,,Ctdspl,,,,,,,,,Rab10,,,Sec11c,,,,,,Pak4,,,Prkcd,,,
,,Ctla2b,,,,,,,,,Rab3gap1,,,Sec24d,,,,,,Palm,,,Prkx,,,
,,Ctnnbl1,,,,,,,,,Rab3ip,,,Sec61a1,,,,,,Parp12,,,Psap,,,
,,Cyb5,,,,,,,,,Rabep1,,,Sec61g,,,,,,Parp8,,,Psma7,,,
,,Cyb561d2,,,,,,,,,Rai1,,,Sema4b,,,,,,Pcyox1,,,Psmb10,,,
,,Cyb5r3,,,,,,,,,Rapgef1,,,Sema4d,,,,,,Pdcd2l,,,Psmb8,,,
,,Cyth2,,,,,,,,,Rasa4,,,Senp6,,,,,,Pdcl3,,,Psmd8,,,
,,D10Jhu81e,,,,,,,,,Rc3h2,,,Sept1,,,,,,Pdlim5,,,Psme1,,,
,,D2Ertd750e,,,,,,,,,Rere,,,Sept11,,,,,,Pdxk,,,Psme2,,,
,,D2Wsu81e,,,,,,,,,Rfwd2,,,Sept9,,,,,,Pea15a,,,Psmg4,,,
,,D930014E17Rik,,,,,,,,,Rfx7,,,Sepw1,,,,,,Pepd,,,Ptplad2,,,
,,Dach1,,,,,,,,,Rfxank,,,Serinc5,,,,,,Per1,,,Ptpn1,,,
,,Daglb,,,,,,,,,Rgp1,,,Setd2,,,,,,Pfkfb4,,,Ptpn18,,,
,,Dalrd3,,,,,,,,,Rhbdf2,,,Setd7,,,,,,Pfkp,,,Ptpro,,,
,,Dap,,,,,,,,,Rhobtb2,,,Sh3bgr,,,,,,Pgs1,,,Pycard,,,
,,Dap3,,,,,,,,,Rhoq,,,Siglech,,,,,,Phactr2,,,Pyhin1,,,
,,Dcaf13,,,,,,,,,Rictor,,,Sigmar1,,,,,,Phf10,,,Rab32,,,
,,Dcaf4,,,,,,,,,Rilpl1,,,Sik1,,,,,,Pi16,,,Rac1,,,
,,Dcakd,,,,,,,,,Rmnd5a,,,Sil1,,,,,,Pi4k2a,,,Ralb,,,
,,Dcps,,,,,,,,,Romo1,,,Skap2,,,,,,Picalm,,,Rap1a,,,
,,Dctd,,,,,,,,,Rps6kb1,,,Sla2,,,,,,Pik3r5,,,Rap1b,,,
,,Dctn4,,,,,,,,,Rras2,,,Slamf9,,,,,,Pik3r6,,,Rap2b,,,
,,Dctn6,,,,,,,,,Rtn4,,,Slc15a4,,,,,,Pin4,,,Rara,,,
,,Dcun1d1,,,,,,,,,Rtn4rl1,,,Slc27a1,,,,,,Pion,,,Rarg,,,
,,Ddhd2,,,,,,,,,Rufy1,,,Slc29a3,,,,,,Pira2,,,Rasa3,,,
,,Ddx27,,,,,,,,,Scamp2,,,Slc35b1,,,,,,Pira7,,,Rassf4,,,
,,Ddx49,,,,,,,,,Sdc1,,,Slc35c2,,,,,,Pisd,,,Rbks,,,
,,Ddx56,,,,,,,,,Sec16a,,,Slc38a1,,,,,,Pitpnm1,,,Rbms1,,,
,,Deaf1,,,,,,,,,Sec24c,,,Slc3a2,,,,,,Pkn1,,,Reep3,,,
,,Deb1,,,,,,,,,Secisbp2l,,,Slc44a2,,,,,,Plaur,,,Reep5,,,
,,Decr1,,,,,,,,,Sel1l,,,Slfn8,,,,,,Plbd2,,,Rgs10,,,
,,Def6,,,,,,,,,Serinc1,,,Sms,,,,,,Plekha1,,,Rhog,,,
,,Def8,,,,,,,,,Setd5,,,Snn,,,,,,Plekhb2,,,Rnase6,,,
,,Dennd2d,,,,,,,,,Sfi1,,,Snx18,,,,,,Plekhg3,,,Rnf130,,,
,,Dexi,,,,,,,,,Sfpq,,,Snx5,,,,,,Plp2,,,Rnf149,,,
,,Dgat2,,,,,,,,,Sgms1,,,Snx9,,,,,,Plxnd1,,,Rnh1,,,
,,Dgcr6,,,,,,,,,Sgpl1,,,Son,,,,,,Pmaip1,,,Rnpep,,,
,,Dguok,,,,,,,,,Sgpp1,,,Sp110,,,,,,Pmm2,,,Rras,,,
,,Dhfr,,,,,,,,,Sh2b2,,,Sp140,,,,,,Pon2,,,Rrbp1,,,
,,Dhodh,,,,,,,,,Sh2d3c,,,Sp3,,,,,,Ppm1h,,,Rsu1,,,
,,Dhrs3,,,,,,,,,Sh3bp2,,,Spag9,,,,,,Ppm1m,,,Rtn4,,,
,,Dhrs4,,,,,,,,,Sh3pxd2a,,,Spcs2,,,,,,Ppp1r12c,,,Rtp4,,,
,,Dhrs7b,,,,,,,,,Sirpa,,,Spcs3,,,,,,Ppp1r9b,,,S100a10,,,
,,Dhx58,,,,,,,,,Skil,,,Spib,,,,,,Pqlc1,,,S100a13,,,
,,Dkkl1,,,,,,,,,Slc15a3,,,Spin1,,,,,,Pqlc3,,,S100a4,,,
,,Dmap1,,,,,,,,,Slc24a6,,,Spint2,,,,,,Prdx4,,,S100a6,,,
,,Dnajc1,,,,,,,,,Slc25a12,,,Spns3,,,,,,Prdx5,,,Samhd1,,,
,,Dnajc30,,,,,,,,,Slc2a6,,,Spty2d1,,,,,,Prelid1,,,Sap30,,,
,,Dnajc6,,,,,,,,,Slc35e2,,,Sqle,,,,,,Prex1,,,Sat1,,,
,,Dnajc8,,,,,,,,,Slc37a2,,,Srgap3,,,,,,Prosc,,,Scand1,,,
,,Dnalc4,,,,,,,,,Slc38a9,,,Srp14,,,,,,Psen1,,,Scarb1,,,
,,Dnase2a,,,,,,,,,Slc39a1,,,Ssr1,,,,,,Psmb9,,,Scpep1,,,
,,Dntt,,,,,,,,,Slc39a14,,,St8sia4,,,,,,Pstpip2,,,Selplg,,,
,,Dnttip1,,,,,,,,,Slc41a2,,,Stard3,,,,,,Ptms,,,Sema4a,,,
,,Dok2,,,,,,,,,Slc43a2,,,Stat1,,,,,,Ptpn12,,,Sema4d,,,
,,Dom3z,,,,,,,,,Slc6a6,,,Stat2,,,,,,Pttg1,,,Sepp1,,,
,,Dpagt1,,,,,,,,,Slc7a6,,,Stat3,,,,,,Qk,,,Sept9,,,
,,Dpcd,,,,,,,,,Slc9a1,,,Stoml1,,,,,,Rab1,,,Sepx1,,,
,,Dph5,,,,,,,,,Slc9a9,,,Stx16,,,,,,Rab31,,,Serf2,,,
,,Dpm1,,,,,,,,,Slco4a1,,,Surf4,,,,,,Rab43,,,Serpinb10-ps,,,
,,Drg1,,,,,,,,,Slfn5,,,Syne2,,,,,,Rab5c,,,Sfpi1,,,
,,Dst,,,,,,,,,Slk,,,Syngr2,,,,,,Rab7l1,,,Sgk3,,,
,,Dstn,,,,,,,,,Smc6,,,Tacc1,,,,,,Rab8b,,,Sh3bgrl,,,
,,Dtl,,,,,,,,,Smg1,,,Taf10,,,,,,Rala,,,Sh3bgrl3,,,
,,Dtnb,,,,,,,,,Snd1,,,Tap1,,,,,,Rap1gap2,,,Sh3glb1,,,
,,Dtwd1,,,,,,,,,Snx29,,,Tapbp,,,,,,Rap1gds1,,,Shfm1,,,
,,Dtx3,,,,,,,,,Snx30,,,Tbc1d8,,,,,,Rap2a,,,Sirpa,,,
,,Dus3l,,,,,,,,,Sort1,,,Tbxa2r,,,,,,Raph1,,,Sirpb1b,,,
,,Dusp12,,,,,,,,,Spata13,,,Tcf12,,,,,,Rasa4,,,Skap2,,,
,,Dynll2,,,,,,,,,Spcs1,,,Tcf4,,,,,,Rasgrp4,,,Sla,,,
,,E130306D19Rik,,,,,,,,,Specc1l,,,Tcf7l2,,,,,,Rassf1,,,Slamf8,,,
,,E2f1,,,,,,,,,Spns1,,,Tcirg1,,,,,,Rassf3,,,Slc11a1,,,
,,E2f3,,,,,,,,,Srebf2,,,Tep1,,,,,,Rbm47,,,Slc2a6,,,
,,E2f6,,,,,,,,,Srp19,,,Tespa1,,,,,,Rbpj,,,Slc43a2,,,
,,E2f8,,,,,,,,,Srp72,,,Tex2,,,,,,Relt,,,Slfn1,,,
,,E330016A19Rik,,,,,,,,,Ssfa2,,,Tgfbr1,,,,,,Rexo2,,,Slfn2,,,
,,Ebi3,,,,,,,,,Ssr3,,,Timp2,,,,,,Rin2,,,Slfn5,,,
,,Ebp,,,,,,,,,St3gal1,,,Tlr7,,,,,,Rin3,,,Slfn8,,,
,,Ebpl,,,,,,,,,St6gal1,,,Tmed2,,,,,,Rit1,,,Smpdl3a,,,
,,Ece1,,,,,,,,,Stambpl1,,,Tmed3,,,,,,Rnase4,,,Snx1,,,
,,Ece2,,,,,,,,,Stard5,,,Tmem111,,,,,,Rnd3,,,Snx10,,,
,,Ech1,,,,,,,,,Stk38l,,,Tmem134,,,,,,Rnf144b,,,Snx20,,,
,,Eci1,,,,,,,,,Stk4,,,Tmem160,,,,,,Rnf166,,,Soat1,,,
,,Eci2,,,,,,,,,Strn3,,,Tmem163,,,,,,Rp2h,,,Sowahc,,,
,,Eefsec,,,,,,,,,Stt3a,,,Tmem173,,,,,,Rps6ka4,,,Spg21,,,
,,Eid1,,,,,,,,,Stt3b,,,Tmem192,,,,,,Rraga,,,Srd5a3,,,
,,Eif1b,,,,,,,,,Supt5h,,,Tmem219,,,,,,Samm50,,,Srsf9,,,
,,Eif2ak2,,,,,,,,,Suv420h1,,,Tmem221,,,,,,Sar1b,,,Ssbp4,,,
,,Eif2b1,,,,,,,,,Taok1,,,Tmem229b,,,,,,Sbno2,,,Ssh2,,,
,,Eif2b3,,,,,,,,,Tbc1d14,,,Tmem55b,,,,,,Scamp2,,,St3gal4,,,
,,Eif2d,,,,,,,,,Tbc1d2b,,,Tmem86a,,,,,,Scarb2,,,St8sia4,,,
,,Eif4e2,,,,,,,,,Tbcel,,,Tnfaip8l2,,,,,,Scp2,,,Stard3,,,
,,Eif4e3,,,,,,,,,Tbl1xr1,,,Tnfrsf13b,,,,,,Sdad1,,,Stard3nl,,,
,,Eif4ebp1,,,,,,,,,Tet2,,,Tnni2,,,,,,Sdc3,,,Stat1,,,
,,Elovl1,,,,,,,,,Tfrc,,,Tns1,,,,,,Sdccag8,,,Stat6,,,
,,Elovl6,,,,,,,,,Tgoln1,,,Tom1,,,,,,Sdhb,,,Stk10,,,
,,Emd,,,,,,,,,Tle3,,,Tomm7,,,,,,Sec14l1,,,Stk38,,,
,,Emp3,,,,,,,,,Tln1,,,Tram1,,,,,,Sec24b,,,Stx16,,,
,,Eng,,,,,,,,,Tlr12,,,Trappc5,,,,,,Sephs2,,,Stx7,,,
,,Eno1,,,,,,,,,Tlr9,,,Trex1,,,,,,Sept10,,,Stxbp6,,,
,,Enoph1,,,,,,,,,Tm7sf3,,,Trib1,,,,,,Serinc1,,,Sub1,,,
,,Entpd5,,,,,,,,,Tmem106b,,,Trim12a,,,,,,Sestd1,,,Sulf2,,,
,,Ercc1,,,,,,,,,Tmem109,,,Trim24,,,,,,Setd8,,,Surf1,,,
,,Erg,,,,,,,,,Tmem184b,,,Trim30a,,,,,,Sft2d1,,,Susd3,,,
,,Ergic1,,,,,,,,,Tmem194b,,,Trim30d,,,,,,Sgk1,,,Taldo1,,,
,,Eri3,,,,,,,,,Tmem50b,,,Tsc22d1,,,,,,Sgpl1,,,Tapbp,,,
,,Ero1l,,,,,,,,,Tmem63a,,,Tspan13,,,,,,Sh3bp1,,,Tep1,,,
,,Esd,,,,,,,,,Tmem8,,,Tspan31,,,,,,Sh3tc1,,,Tgfbi,,,
,,Etfa,,,,,,,,,Tmx3,,,Tubb2a,,,,,,Siah2,,,Tifab,,,
,,Etv6,,,,,,,,,Tnks2,,,Tubb2b,,,,,,Sigmar1,,,Tln1,,,
,,Exoc8,,,,,,,,,Tnrc6c,,,Tubgcp5,,,,,,Sirpb1a,,,Tlr2,,,
,,Exosc2,,,,,,,,,Trabd,,,Txndc5,,,,,,Sirt2,,,Tm2d2,,,
,,Exosc3,,,,,,,,,Trappc8,,,Ube3a,,,,,,Slc12a9,,,Tm6sf1,,,
,,Exosc4,,,,,,,,,Trim25,,,Ubxn4,,,,,,Slc16a10,,,Tmcc1,,,
,,F2rl3,,,,,,,,,Trim36,,,Ufc1,,,,,,Slc24a6,,,Tmem106a,,,
,,F630028O10Rik,,,,,,,,,Trim44,,,Uggt1,,,,,,Slc25a20,,,Tmem167,,,
,,Fadd,,,,,,,,,Trit1,,,Upb1,,,,,,Slc25a38,,,Tmem176b,,,
,,Fam110a,,,,,,,,,Trmt6,,,Uqcr11,,,,,,Slc25a45,,,Tmem219,,,
,,Fam117a,,,,,,,,,Trpv2,,,Use1,,,,,,Slc29a3,,,Tmem38b,,,
,,Fam125b,,,,,,,,,Trrap,,,Uso1,,,,,,Slc31a1,,,Tmem50a,,,
,,Fam132a,,,,,,,,,Tsix,,,Uvrag,,,,,,Slc31a2,,,Tmem51,,,
,,Fam195b,,,,,,,,,Tspan2,,,Vps13a,,,,,,Slc35b1,,,Tmsb10,,,
,,Fam203a,,,,,,,,,Tspyl1,,,Vps37a,,,,,,Slc35c1,,,Tmsb4x,,,
,,Fam33a,,,,,,,,,Ttc19,,,Wasf2,,,,,,Slc35c2,,,Tnfaip2,,,
,,Fam53a,,,,,,,,,Ttc7,,,Xbp1,,,,,,Slc39a1,,,Tnfaip8l2,,,
,,Fam54b,,,,,,,,,Tyk2,,,Xist,,,,,,Slc46a3,,,Tnfrsf1a,,,
,,Fam58b,,,,,,,,,Ube2q1,,,Yipf5,,,,,,Slc6a6,,,Tnfrsf1b,,,
,,Fam60a,,,,,,,,,Ube2q2,,,Zc3h7a,,,,,,Slc8a1,,,Tnfrsf21,,,
,,Fam65a,,,,,,,,,Ubn1,,,Zcchc7,,,,,,Slk,,,Tomm6,,,
,,Fam69b,,,,,,,,,Ubn2,,,Zdhhc13,,,,,,Snx22,,,Tor1a,,,
,,Fam82b,,,,,,,,,Ubr2,,,Zdhhc14,,,,,,Sod1,,,Tor1aip1,,,
,,Fam86,,,,,,,,,Ubr4,,,Zeb2,,,,,,Sort1,,,Tor3a,,,
,,Fam92a,,,,,,,,,Ulk2,,,Zfp106,,,,,,Sp110,,,Tpd52,,,
,,Fam96a,,,,,,,,,Uqcrq,,,Zfp36l1,,,,,,Sphk2,,,Trafd1,,,
,,Fam96b,,,,,,,,,Usf2,,,Zfp36l2,,,,,,Spr,,,Trex1,,,
,,Fam98c,,,,,,,,,Usp18,,,Zmiz2,,,,,,Sptlc2,,,Trf,,,
,,Farsa,,,,,,,,,Usp24,,,Zmynd8,,,,,,Sqrdl,,,Trim30a,,,
,,Fasn,,,,,,,,,Usp7,,,,,,,,,Srgap2,,,Trps1,,,
,,Fbxl6,,,,,,,,,Utrn,,,,,,,,,Ssfa2,,,Tspo,,,
,,Fbxo22,,,,,,,,,Vamp2,,,,,,,,,Ssr3,,,Ttc7,,,
,,Fbxo6,,,,,,,,,Vcpip1,,,,,,,,,St3gal2,,,Tyrobp,,,
,,Fbxo7,,,,,,,,,Vprbp,,,,,,,,,Stambp,,,Ubl3,,,
,,Fbxw4,,,,,,,,,Vps11,,,,,,,,,Stat2,,,Unc93b1,,,
,,Fcnb,,,,,,,,,Vps13b,,,,,,,,,Stom,,,Uqcrfs1,,,
,,Fdft1,,,,,,,,,Vps39,,,,,,,,,Stx3,,,Usf2,,,
,,Fdx1,,,,,,,,,Vps54,,,,,,,,,Stx4a,,,Usp8,,,
,,Fdx1l,,,,,,,,,Wbp7,,,,,,,,,Stx8,,,Vapb,,,
,,Fdxr,,,,,,,,,Wdr37,,,,,,,,,Sumf1,,,Vim,,,
